,0
41,"[('LOC114674886', 74120995, 74142074, '-', [(74120995, 74121179), (74141931, 74142074)]), ('FGF16', 74141766, 74150639, '+', [(74141766, 74142040), (74148250, 74148354), (74150393, 74150639)]), ('ATRX', 74196330, 74480944, '-', [(74196330, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386484), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480656, 74480944)]), ('ATRX', 74196330, 74480944, '-', [(74196330, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386484), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480656, 74480944)]), ('ATRX', 74196330, 74480944, '-', [(74196330, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386484), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480656, 74480944)]), ('ATRX', 74198828, 74480899, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386484), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74397042, 74397080), (74416429, 74416542), (74480656, 74480899)]), ('ATRX', 74198828, 74480899, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386484), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74480656, 74480899)]), ('ATRX', 74198828, 74480899, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74380910), (74380997, 74382052), (74382397, 74382465), (74386374, 74386484), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74480656, 74480899)]), ('ATRX', 74198828, 74480899, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386484), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74480656, 74480899)]), ('ATRX', 74198828, 74480903, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386484), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480519, 74480903)]), ('ATRX', 74198828, 74480944, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74380910), (74380997, 74382052), (74382397, 74382465), (74386374, 74386484), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480656, 74480944)]), ('ATRX', 74198828, 74480944, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386481), (74391350, 74391464), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480656, 74480944)]), ('ATRX', 74198828, 74480944, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74382052), (74382397, 74382465), (74386374, 74386481), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480656, 74480944)]), ('ATRX', 74198828, 74480944, '-', [(74198828, 74199250), (74211546, 74211675), (74212162, 74212258), (74213001, 74213127), (74213991, 74214141), (74248014, 74248209), (74249245, 74249423), (74264820, 74264929), (74280689, 74280796), (74284459, 74284613), (74290166, 74290336), (74290484, 74290573), (74291185, 74291316), (74310556, 74310674), (74312738, 74312914), (74314318, 74314456), (74330332, 74330510), (74330667, 74330814), (74331696, 74331806), (74333070, 74333212), (74349515, 74349752), (74351496, 74351599), (74353947, 74354041), (74360381, 74360558), (74361757, 74361891), (74373360, 74373433), (74378981, 74380910), (74380997, 74382052), (74382397, 74382465), (74386374, 74386481), (74394107, 74394235), (74395102, 74395155), (74396097, 74396153), (74416429, 74416542), (74480656, 74480944)])]"
42,[]
43,"[('BRWD3', 77420440, 77552790, '-', [(77420440, 77424338), (77428307, 77428460), (77428994, 77429092), (77429471, 77429635), (77431026, 77431179), (77432483, 77432558), (77433426, 77433567), (77434610, 77434667), (77436301, 77436380), (77436495, 77436621), (77437588, 77437709), (77438352, 77438508), (77438616, 77438678), (77439466, 77439578), (77442738, 77442821), (77443876, 77444001), (77447107, 77447215), (77450666, 77450780), (77451884, 77452053), (77454562, 77454639), (77456590, 77456740), (77461861, 77461955), (77463280, 77463467), (77465271, 77465439), (77468352, 77468578), (77469552, 77469681), (77470703, 77470838), (77473830, 77473984), (77475022, 77475127), (77478533, 77478574), (77479209, 77479310), (77480649, 77480720), (77481222, 77481323), (77487717, 77487939), (77489260, 77489421), (77534909, 77535008), (77536683, 77536834), (77551571, 77551631), (77552044, 77552074), (77552277, 77552336), (77552471, 77552790)]), ('BRWD3', 77423328, 77552790, '-', [(77423328, 77424338), (77428307, 77428466), (77428994, 77429092), (77429471, 77429635), (77431026, 77431179), (77432483, 77432558), (77433426, 77433567), (77434610, 77434667), (77436301, 77436380), (77436495, 77436621), (77437588, 77437709), (77438352, 77438508), (77438616, 77438678), (77439466, 77439578), (77442738, 77442821), (77443876, 77444001), (77447107, 77447215), (77450666, 77450780), (77451884, 77452053), (77454562, 77454639), (77456590, 77456740), (77461861, 77461955), (77463280, 77463467), (77465271, 77465439), (77468352, 77468578), (77469552, 77469681), (77470703, 77470838), (77473830, 77473984), (77475022, 77475127), (77478533, 77478574), (77479209, 77479310), (77480649, 77480720), (77481222, 77481323), (77487717, 77487939), (77489260, 77489421), (77534909, 77535008), (77536683, 77536834), (77551571, 77551631), (77552044, 77552074), (77552277, 77552336), (77552471, 77552790)])]"
44,"[('CHM', 82699352, 82892933, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82819941, 82819999), (82822669, 82822742), (82872406, 82872473), (82892803, 82892933)]), ('CHM', 82699352, 82892933, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82822669, 82822742), (82892803, 82892933)]), ('CHM', 82699352, 82892956, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82872406, 82872473), (82892803, 82892956)]), ('CHM', 82699352, 82893071, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82872406, 82872473), (82892939, 82893071)]), ('CHM', 82699352, 82893072, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82822669, 82822742), (82872406, 82872473), (82892803, 82893072)]), ('CHM', 82699352, 82893072, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82822669, 82822742), (82872406, 82872473), (82892939, 82893072)]), ('CHM', 82699352, 82893073, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806958), (82819712, 82819837), (82822669, 82822742), (82872406, 82872473), (82892803, 82893073)]), ('CHM', 82699352, 82893073, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806958), (82819712, 82819837), (82822669, 82822742), (82872406, 82872473), (82892939, 82893073)]), ('CHM', 82699352, 82893180, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82822669, 82822742), (82872406, 82872473), (82893113, 82893180)]), ('CHM', 82699352, 82893245, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82872406, 82872473), (82893176, 82893245)]), ('CHM', 82699352, 82893258, '-', [(82699352, 82703054), (82710977, 82711138), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82822669, 82822742), (82872406, 82872473), (82893176, 82893258)]), ('CHM', 82702967, 82893191, '-', [(82702967, 82703054), (82716530, 82716629), (82731790, 82731887), (82738189, 82738253), (82738627, 82738732), (82748951, 82749029), (82799111, 82799337), (82800783, 82800904), (82801794, 82801911), (82806574, 82806962), (82819712, 82819837), (82822669, 82822742), (82872406, 82872473), (82893113, 82893191)]), ('MIR361', 82741177, 82741249, '-', [(82741177, 82741249)])]"
45,[]
46,"[('LOC114674725', 93566782, 93569608, '-', [(93566782, 93567623), (93568977, 93569071), (93569415, 93569608)]), ('DIAPH2', 93571016, 94362638, '+', [(93571016, 93571575), (93623476, 93623509), (93626290, 93626467), (93644005, 93644110), (93648915, 93648936), (93764689, 93764829), (93792336, 93792411), (93792491, 93792561), (93796424, 93796561), (93798485, 93798594), (93810689, 93810800), (93816006, 93816125), (93818045, 93818162), (93820340, 93820459), (93824476, 93824541), (93827897, 93828002), (93837466, 93837787), (93845582, 93845697), (93950023, 93950125), (93952253, 93952348), (93979465, 93979567), (93994379, 93994619), (94028019, 94028149), (94138109, 94138234), (94238614, 94238779), (94275969, 94276105), (94322482, 94322578), (94362493, 94362638)]), ('DIAPH2', 93571016, 94484756, '+', [(93571016, 93571575), (93623476, 93623509), (93626290, 93626467), (93644005, 93644110), (93648915, 93648936), (93764689, 93764829), (93792336, 93792411), (93792491, 93792561), (93796424, 93796561), (93798485, 93798594), (93810689, 93810800), (93816006, 93816125), (93818045, 93818162), (93820340, 93820459), (93824476, 93824541), (93827897, 93828002), (93837466, 93837787), (93845582, 93845697), (93950023, 93950125), (93952253, 93952348), (93979465, 93979567), (93994379, 93994619), (94028019, 94028149), (94138109, 94138234), (94238614, 94238779), (94275969, 94276105), (94322482, 94322578), (94482570, 94484756)]), ('DIAPH2', 93571016, 94488253, '+', [(93571016, 93571575), (93623476, 93623509), (93626290, 93626467), (93644005, 93644110), (93764689, 93764829), (93792336, 93792411), (93792491, 93792561), (93796424, 93796561), (93798485, 93798594), (93810689, 93810800), (93816006, 93816125), (93818045, 93818162), (93820340, 93820459), (93824476, 93824541), (93827897, 93828002), (93837466, 93837787), (93845582, 93845697), (93950023, 93950125), (93952253, 93952348), (93979465, 93979567), (93994379, 93994619), (94028019, 94028149), (94138109, 94138234), (94238614, 94238779), (94275969, 94276105), (94322482, 94322578), (94482570, 94488253)]), ('DIAPH2', 93571017, 94362638, '+', [(93571017, 93571575), (93626290, 93626467), (93644005, 93644110), (93648915, 93648936), (93764689, 93764829), (93792336, 93792411), (93792491, 93792561), (93796424, 93796561), (93798485, 93798594), (93810689, 93810800), (93816006, 93816125), (93818045, 93818162), (93820340, 93820459), (93824476, 93824541), (93827897, 93828002), (93837466, 93837787), (93845582, 93845697), (93950023, 93950125), (93952253, 93952348), (93979465, 93979567), (93994379, 93994619), (94028019, 94028149), (94138109, 94138234), (94238614, 94238779), (94275969, 94276105), (94322482, 94322578), (94362493, 94362638)]), ('DIAPH2', 93571017, 94362638, '+', [(93571017, 93571575), (93623476, 93623509), (93626290, 93626467), (93644005, 93644110), (93764689, 93764829), (93792336, 93792411), (93792491, 93792561), (93796424, 93796561), (93798485, 93798594), (93810689, 93810800), (93816006, 93816125), (93818045, 93818162), (93820340, 93820459), (93824476, 93824541), (93827897, 93828002), (93837466, 93837787), (93845582, 93845697), (93950023, 93950125), (93952253, 93952348), (93979465, 93979567), (93994379, 93994619), (94028019, 94028149), (94138109, 94138234), (94238614, 94238779), (94275969, 94276105), (94322482, 94322578), (94362493, 94362638)])]"
47,"[('TNMD', 97362758, 97378522, '+', [(97362758, 97363032), (97363196, 97363328), (97372077, 97372218), (97372444, 97372546), (97376130, 97376284), (97377646, 97377813), (97378144, 97378522)]), ('TSPAN6', 97407414, 97418435, '-', [(97407414, 97408336), (97409106, 97409214), (97410850, 97410934), (97411769, 97411904), (97412289, 97412388), (97413549, 97413624), (97413930, 97414119), (97414567, 97414584), (97415169, 97415482), (97418333, 97418435)]), ('TSPAN6', 97407414, 97418435, '-', [(97407414, 97408336), (97409106, 97409214), (97410850, 97410934), (97411769, 97411904), (97412289, 97412388), (97413549, 97413624), (97413930, 97414119), (97415169, 97415482), (97418333, 97418435)]), ('TSPAN6', 97407414, 97418436, '-', [(97407414, 97408336), (97409106, 97409214), (97410850, 97410934), (97411769, 97411904), (97412289, 97412388), (97413549, 97413624), (97413930, 97414119), (97414984, 97415482), (97418333, 97418436)]), ('SRPX2', 97422233, 97454240, '+', [(97422233, 97422575), (97424257, 97424469), (97428810, 97428891), (97440485, 97440677), (97443389, 97443566), (97443869, 97443996), (97444162, 97444284), (97445381, 97445561), (97445894, 97446028), (97447839, 97447961), (97449393, 97454240)]), ('SRPX2', 97422240, 97449886, '+', [(97422240, 97422575), (97424386, 97424469), (97428810, 97428891), (97440485, 97440677), (97443389, 97443566), (97443869, 97443996), (97444162, 97444284), (97445381, 97445561), (97445894, 97446028), (97447839, 97447961), (97449393, 97449886)]), ('SRPX2', 97422240, 97449886, '+', [(97422240, 97422575), (97423266, 97423307), (97424257, 97424469), (97428810, 97428891), (97440485, 97440677), (97443389, 97443566), (97443869, 97443996), (97444162, 97444284), (97445381, 97445561), (97445894, 97446028), (97447839, 97447961), (97449393, 97449886)]), ('SYTL4', 97453057, 97508843, '-', [(97453057, 97454756), (97456974, 97457183), (97457911, 97458011), (97459817, 97459926), (97464602, 97464764), (97465291, 97465394), (97465679, 97465858), (97466968, 97467058), (97468513, 97468617), (97468726, 97468817), (97469218, 97469294), (97469763, 97469865), (97479197, 97479300), (97479520, 97479630), (97479759, 97479975), (97480229, 97480409), (97508118, 97508212), (97508710, 97508843)]), ('SYTL4', 97453057, 97508849, '-', [(97453057, 97454756), (97456974, 97457183), (97457911, 97458011), (97459817, 97459926), (97464602, 97464764), (97465291, 97465394), (97465679, 97465858), (97466968, 97467058), (97468513, 97468617), (97468726, 97468817), (97469218, 97469294), (97469763, 97469865), (97479197, 97479300), (97479520, 97479630), (97479759, 97479975), (97480229, 97480409), (97508710, 97508849)])]"
48,"[('XKRX', 97715574, 97732335, '-', [(97715574, 97717208), (97725224, 97725493), (97730493, 97732335)]), ('ARL13A', 97773447, 97792859, '+', [(97773447, 97773581), (97775496, 97775569), (97775947, 97776018), (97787763, 97788013), (97788896, 97789002), (97789476, 97789643), (97790275, 97790366), (97790465, 97790646), (97792410, 97792859)])]"
49,"[('DRP2', 98029408, 98071767, '+', [(98029408, 98029810), (98041164, 98041343), (98045480, 98045644), (98047229, 98047386), (98048587, 98048708), (98051271, 98051540), (98051928, 98052075), (98052507, 98052586), (98054666, 98054727), (98055035, 98055097), (98056748, 98056823), (98057747, 98057949), (98058171, 98058257), (98060122, 98060280), (98060613, 98060780), (98062386, 98062498), (98064005, 98064142), (98064764, 98064830), (98065703, 98065847), (98067884, 98068122), (98069729, 98069850), (98070179, 98071767)]), ('DRP2', 98029408, 98071767, '+', [(98029408, 98029810), (98041164, 98041343), (98045480, 98045644), (98047229, 98047386), (98048587, 98048708), (98051271, 98051540), (98051928, 98052075), (98052507, 98052586), (98054666, 98054727), (98055035, 98055097), (98056748, 98056823), (98057747, 98057949), (98058171, 98058257), (98060122, 98060280), (98060613, 98060780), (98062386, 98062498), (98064005, 98064142), (98064439, 98064505), (98064764, 98064830), (98065703, 98065847), (98067884, 98068122), (98069729, 98069850), (98070179, 98071767)]), ('DRP2', 98041162, 98073524, '+', [(98041162, 98041343), (98045480, 98045644), (98047229, 98047386), (98048587, 98048708), (98051271, 98051540), (98051928, 98052075), (98052507, 98052586), (98054666, 98054727), (98055035, 98055097), (98056748, 98056823), (98057747, 98057949), (98058171, 98058257), (98060122, 98060280), (98060613, 98060780), (98062386, 98062498), (98064005, 98064142), (98064439, 98064505), (98064764, 98064830), (98065703, 98065847), (98067884, 98068122), (98069729, 98069850), (98070179, 98073524)]), ('TAF7L', 98078314, 98103779, '-', [(98078314, 98079330), (98085620, 98085680), (98087448, 98087561), (98087756, 98087981), (98089059, 98089173), (98089507, 98089580), (98090438, 98090480), (98093176, 98093232), (98093791, 98093918), (98094924, 98095058), (98098496, 98098575), (98099715, 98099783), (98103502, 98103779)]), ('TAF7L', 98078314, 98105365, '-', [(98078314, 98079330), (98085620, 98085680), (98087448, 98087561), (98089059, 98089173), (98089507, 98089580), (98090438, 98090480), (98093176, 98093232), (98093791, 98093918), (98094924, 98095058), (98098496, 98098575), (98099715, 98099783), (98104871, 98105365)]), ('TAF7L', 98078314, 98105366, '-', [(98078314, 98079330), (98085620, 98085680), (98087448, 98087561), (98087756, 98087984), (98089059, 98089173), (98089507, 98089580), (98090438, 98090480), (98093176, 98093232), (98093791, 98093918), (98094924, 98095058), (98098496, 98098575), (98099715, 98099783), (98104871, 98105366)]), ('TAF7L', 98078314, 98105367, '-', [(98078314, 98079330), (98085620, 98085680), (98087448, 98087561), (98087756, 98087981), (98089059, 98089173), (98089507, 98089580), (98090438, 98090480), (98093176, 98093232), (98093791, 98093918), (98094924, 98095058), (98098496, 98098575), (98099715, 98099783), (98104871, 98105367)]), ('LOC114675172', 98137415, 98137522, '+', [(98137415, 98137522)]), ('TIMM8A', 98158620, 98161170, '-', [(98158620, 98159104), (98160965, 98161170)]), ('TIMM8A', 98160471, 98161364, '-', [(98160471, 98160835), (98160965, 98161364)]), ('BTK', 98161886, 98200127, '-', [(98161886, 98162389), (98165986, 98166144), (98166663, 98166782), (98167461, 98167526), (98168870, 98169087), (98169606, 98169778), (98170325, 98170400), (98171131, 98171259), (98171438, 98171518), (98172108, 98172163), (98172854, 98172917), (98173335, 98173523), (98174264, 98174332), (98174654, 98174783), (98182713, 98182795), (98184344, 98184413), (98187925, 98188024), (98188551, 98188722), (98199962, 98200127)]), ('BTK', 98161886, 98200129, '-', [(98161886, 98162389), (98165986, 98166144), (98166663, 98166782), (98167461, 98167526), (98168870, 98169087), (98169606, 98169778), (98170325, 98170400), (98171131, 98171259), (98171438, 98171518), (98172108, 98172163), (98172854, 98172917), (98173335, 98173523), (98174264, 98174332), (98174636, 98174783), (98182713, 98182795), (98184344, 98184413), (98187925, 98188024), (98188551, 98188722), (98199962, 98200129)])]"
50,"[('TMSB15A', 99131323, 99134420, '-', [(99131323, 99131766), (99132703, 99132820), (99134306, 99134420)]), ('LOC114674704', 99181472, 99191979, '+', [(99181472, 99181784), (99191178, 99191362), (99191605, 99191979)]), ('LOC693880', 99191951, 99201454, '+', [(99191951, 99192029), (99192332, 99192416), (99192527, 99192632), (99192750, 99192831), (99192939, 99193009), (99193167, 99193256), (99193376, 99193484), (99193670, 99193780), (99195472, 99195509), (99195919, 99195988), (99196066, 99196122), (99196269, 99196377), (99196493, 99196552), (99196660, 99196776), (99196887, 99196930), (99197610, 99197683), (99198175, 99198358), (99200980, 99201454)]), ('ARMCX5', 99225811, 99230790, '+', [(99225811, 99225904), (99225985, 99226209), (99226342, 99226484), (99227541, 99227654), (99228091, 99228137), (99228507, 99230790)]), ('ARMCX5', 99225867, 99230790, '+', [(99225867, 99226484), (99228091, 99228137), (99228507, 99230790)]), ('ARMCX5', 99226134, 99230790, '+', [(99226134, 99226484), (99227541, 99227654), (99228091, 99228137), (99228507, 99230790)]), ('ARMCX5', 99228304, 99230790, '+', [(99228304, 99230790)]), ('GPRASP1', 99232206, 99290876, '+', [(99232206, 99232283), (99285235, 99285303), (99285626, 99285704), (99285978, 99290876)]), ('GPRASP1', 99283760, 99291497, '+', [(99283760, 99283990), (99285626, 99285704), (99285978, 99291497)]), ('GPRASP1', 99283760, 99291497, '+', [(99283760, 99283990), (99285235, 99285303), (99285626, 99285704), (99285978, 99291497)]), ('GPRASP1', 99283760, 99291497, '+', [(99283760, 99283990), (99284576, 99284667), (99285235, 99285303), (99285626, 99285704), (99285978, 99291497)]), ('GPRASP1', 99283877, 99291497, '+', [(99283877, 99283990), (99284085, 99284132), (99284576, 99284667), (99285235, 99285303), (99285626, 99285704), (99285978, 99291497)])]"
51,"[('LOC106995277', 99730945, 99732396, '+', [(99730945, 99732396)]), ('BEX4', 99787703, 99789766, '+', [(99787703, 99787834), (99788271, 99788350), (99788733, 99789766)]), ('TCEAL8', 99825586, 99826620, '-', [(99825586, 99826620)]), ('TCEAL8', 99825590, 99827428, '-', [(99825590, 99826619), (99827318, 99827428)]), ('TCEAL8', 99825590, 99827790, '-', [(99825590, 99826619), (99827679, 99827790)]), ('TCEAL8', 99825590, 99827813, '-', [(99825590, 99826619), (99827206, 99827279), (99827679, 99827813)]), ('TCEAL5', 99846315, 99849579, '-', [(99846315, 99847217), (99847899, 99847967), (99849292, 99849579)]), ('BEX2', 99876757, 99879309, '-', [(99876757, 99876772), (99876985, 99877987), (99878364, 99878443), (99878883, 99879309)]), ('BEX2', 99877352, 99879096, '-', [(99877352, 99877987), (99878364, 99878443), (99878883, 99879096)]), ('BEX2', 99877352, 99879097, '-', [(99877352, 99877987), (99878364, 99878443), (99878592, 99879097)]), ('TCEAL7', 99898011, 99900243, '+', [(99898011, 99898218), (99898832, 99898951), (99899286, 99900243)]), ('TCEAL7', 99898011, 99900243, '+', [(99898011, 99898271), (99898886, 99898951), (99899286, 99900243)]), ('TCEAL7', 99898154, 99900243, '+', [(99898154, 99898218), (99898886, 99898951), (99899286, 99900243)])]"
